Shyloo,2011,152 min,6.2,"Crime, Drama, Romance            ",kannada
Cyanide,2006,115 min,8,"Crime, Drama, Thriller            ",kannada
Vidheyan,1994,112 min,8.3,Drama            ,kannada
Maane Number 13,2020,105 min,2.9,"Horror, Thriller            ",kannada
Sri Manjunatha,2001,152 min,6.9,"Drama, Family, History            ",kannada
Huccha 2,2018,128 min,3.1,Action            ,kannada
Premier Padmini,2019,145 min,8,"Comedy, Drama            ",kannada
Gimmick,2019,153 min,4.7,Horror            ,kannada
Porki,2010,154 min,5,"Action, Crime, Thriller            ",kannada
Aapthamitra,2004,100 min,8.1,"Drama, Horror, Thriller            ",kannada
Aake,2017,132 min,6.1,"Horror, Mystery, Thriller            ",kannada
Nibunan,2017,127 min,6.6,"Action, Crime, Thriller            ",kannada
Ranna,2015,152 min,6.2,"Action, Comedy, Drama            ",kannada
Katha Sangama,2019,156 min,7.5,"Drama, Family, Thriller            ",kannada
Modalasala,2010,140 min,7,Romance            ,kannada
Kraanthiveera Sangolli Raayanna,2012,180 min,7.8,"Drama, History, War            ",kannada
Dhira,2020,117 min,5.7,Animation            ,kannada
BB5,2017,123 min,6.7,"Crime, Mystery, Thriller            ",kannada
Jeevana Chaitra,1992,157 min,8.4,Drama            ,kannada
Chaddi Dosth,2013,132 min,7.1,"Comedy, Drama            ",kannada
Shabdavedi,2000,164 min,7,"Action, Crime, Thriller            ",kannada
Akasmika,1993,146 min,7.2,"Action, Crime, Thriller            ",kannada
Chamak,2017,155 min,6.9,Comedy            ,kannada
Chakravyuha,2016,124 min,7.1,"Action, Thriller            ",kannada
Jigar Thanda,2016,171 min,7.4,"Crime, Drama            ",kannada
Golisoda,2016,139 min,8.2,Drama            ,kannada
"Dance, Raja, Dance",1987,140 min,7.2,"Musical, Drama            ",kannada
Rathaavara,2015,131 min,6.5,"Crime, Drama, Thriller            ",kannada
Chandra,2013,117 min,5.2,"Fantasy, Musical, Romance            ",kannada
Maasthi Gudi,2017,150 min,5.8,"Action, Drama            ",kannada
Neenu Nakkare Haalu Sakkare,1991,147 min,7.3,Comedy            ,kannada
Londonalli Lambodhara,2019,136 min,7,Family            ,kannada
Maanikya,2014,165 min,6.4,"Action, Drama            ",kannada
Vamsha Vriksha,1971,166 min,8.2,Drama            ,kannada
Drona,2020,157 min,7.3,Drama            ,kannada
Mungaru Male,2006,143 min,8.3,"Comedy, Music, Romance            ",kannada
Devaki,2019,129 min,6.2,Thriller            ,kannada
Jackie,2010,126 min,7.2,"Action, Comedy            ",kannada
A Happy Married Life,2016,156 min,7.8,Family            ,kannada
Tunturu,2018,112 min,7.5,Thriller            ,kannada
Neer Dose,2016,135 min,8.1,"Comedy, Drama, Romance            ",kannada
Pogaru,2021,160 min,6.4,Action            ,kannada
Shhh!,1993,135 min,8.6,"Horror, Mystery, Thriller            ",kannada
Kaadu Kudure,1978,117 min,7.1,"Drama, Romance            ",kannada
Lakshmi,2013,160 min,5.4,Action            ,kannada
Varadanayaka,2013,150 min,6.1,"Action, Drama            ",kannada
Natasaarvabhowma,2019,157 min,6.9,Action            ,kannada
Gini Helida Kathe,2019,138 min,9.1,Drama            ,kannada
Minchina Oata,1980,135 min,7.4,"Adventure, Crime            ",kannada
3rd Class,2020,130 min,8.5,Action            ,kannada
Kaafi Thota,2017,130 min,7.2,Mystery            ,kannada
December 1,2014,98 min,7.9,Drama            ,kannada
Sainika,2002,150 min,7.1,"Action, Drama            ",kannada
My Autograph,2006,185 min,7.3,"Drama, Musical, Romance            ",kannada
Bheemasena Nalamaharaja,2020,140 min,6.6,Drama            ,kannada
Cheluveye Ninna Nodalu,2010,130 min,6.2,Romance            ,kannada
Apoorva,2016,140 min,6.5,"Romance, Thriller            ",kannada
Puta Tirugisi Nodi,2016,109 min,8.2,Sport            ,kannada
Mantram,2017,108 min,4.4,Horror            ,kannada
Jagan Mohini,1951,137 min,5.3,"Drama, Horror            ",kannada
Milana,2007,155 min,8,Romance            ,kannada
Moggina Manasu,2008,149 min,7.2,"Music, Romance            ",kannada
Vishnuvardhana,2011,169 min,7.2,"Action, Comedy, Thriller            ",kannada
Navarathna,2020,138 min,4.6,Action            ,kannada
Kaddipudi,2013,135 min,7.4,"Crime, Drama, Thriller            ",kannada
Chellata,2006,159 min,6.8,"Comedy, Drama            ",kannada
Bicchugatthi Chapter 1,2020,141 min,8.1,"Action, History, Thriller            ",kannada
Swami Ayyappan,2012,90 min,7.5,"Animation, Action, Adventure            ",kannada
Digbhayam,2019,107 min,9.2,Thriller            ,kannada
Raambo2,2018,140 min,6.2,Comedy            ,kannada
Bharaate,2019,166 min,4.9,"Action, Drama            ",kannada
Kaanadante Maayavadanu,2020,127 min,8.7,Fantasy            ,kannada
Chinnada Gombe,2018,110 min,8.6,Horror            ,kannada
Jaggu Dada,2016,159 min,6.1,"Comedy, Romance            ",kannada
Accident,1985,121 min,7.8,"Crime, Drama, Thriller            ",kannada
Masth Majaa Maadi,2008,160 min,7.4,Comedy            ,kannada
Duniya,2007,140 min,7.2,Drama            ,kannada
Goa Dalli CID 999,1968,145 min,8,"Crime, Thriller            ",kannada
Sarvajanikarige Suvarnavakasha,2019,121 min,4.9,"Comedy, Drama            ",kannada
Kaarmoda Saridu,2019,105 min,7.8,"Comedy, Family, Thriller            ",kannada
Thokar,2004,142 min,8,"Action, Drama            ",kannada
